City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bluff,NZ,2022-05-05 01:44:48,-46.6,168.3333,61.81,71,60,4.7
68,Lorengau,PG,2022-05-05 01:52:18,-2.0226,147.2712,83.86,78,79,5.93
69,Padang,ID,2022-05-05 01:52:18,-0.9492,100.3543,82.45,68,75,1.99
70,Klaksvik,FO,2022-05-05 01:44:40,62.2266,-6.589,43.72,72,67,13.73
71,Sepuka,TZ,2022-05-05 01:52:19,-4.75,34.5333,60.17,87,48,8.25
72,Busselton,AU,2022-05-05 01:44:36,-33.65,115.3333,59.11,49,0,16.37
73,Sambava,MG,2022-05-05 01:52:19,-14.2667,50.1667,73.6,82,74,12.44
74,Avera,US,2022-05-05 01:52:20,33.194,-82.5271,77.05,80,53,6.53
75,Georgetown,MY,2022-05-05 01:40:15,5.4112,100.3354,84.13,87,20,3.44
76,Hermanus,ZA,2022-05-05 01:44:57,-34.4187,19.2345,61.36,80,16,4.38
77,New Norfolk,AU,2022-05-05 01:44:38,-42.7826,147.0587,56.91,59,66,3.56
78,Pisco,PE,2022-05-05 01:45:41,-13.7,-76.2167,64.45,82,0,14.97
79,Viedma,AR,2022-05-05 01:50:28,-40.8135,-62.9967,62.71,38,94,9.66
80,Le Port,RE,2022-05-05 01:52:21,-20.9373,55.2919,75.25,69,15,5.12
81,Basmat,IN,2022-05-05 01:52:22,19.3167,77.1667,91.9,18,52,6.13
82,Hobart,AU,2022-05-05 01:40:34,-42.8794,147.3294,57.25,76,20,5.75
83,Antofagasta,CL,2022-05-05 01:52:22,-23.65,-70.4,60.08,73,56,1.39
84,Tuktoyaktuk,CA,2022-05-05 01:45:07,69.4541,-133.0374,26.6,86,100,14.97
85,Kapaa,US,2022-05-05 01:44:54,22.0752,-159.319,82.38,81,75,16.11
86,Bilibino,RU,2022-05-05 01:45:23,68.0546,166.4372,32.27,96,99,3.13
