City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yellowknife,CA,62.456,-114.3525,37.92,100,100,24.16,light rain
80,Zonguldak,TR,41.25,31.8333,40.06,91,4,2.68,clear sky
81,Tateyama,JP,34.9833,139.8667,61.11,91,9,3.29,clear sky
82,Hazaribag,IN,23.9833,85.35,80.15,42,7,5.86,clear sky
83,Noshiro,JP,40.2039,140.0242,48.69,76,40,12.17,scattered clouds
84,Mutsu,JP,41.2894,141.2169,46.99,82,9,15.64,clear sky
85,Cabo San Lucas,MX,22.8909,-109.9124,88.9,26,0,3.44,clear sky
86,Lerwick,GB,60.1545,-1.1494,46.4,64,98,9.8,overcast clouds
87,Cayenne,GF,4.9333,-52.3333,83.08,1,100,11.5,light rain
88,Cairns,AU,-16.9167,145.7667,76.95,90,40,8.05,scattered clouds
89,Isangel,VU,-19.55,169.2667,75.13,65,22,17.43,few clouds
90,Guymon,US,36.6828,-101.4816,91.4,24,0,19.57,clear sky
91,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,67,1,16.46,clear sky
92,Bluff,NZ,-46.6,168.3333,57.79,97,100,9.13,moderate rain
93,Sioux Lookout,CA,50.1001,-91.917,66.27,32,40,9.22,scattered clouds
94,Seymchan,RU,62.8833,152.4333,31.12,92,100,6.67,overcast clouds
95,Krasnyy Yar,RU,46.5331,48.3456,55.33,83,100,17.11,overcast clouds
96,Punta Arenas,CL,-53.15,-70.9167,51.12,66,39,27.67,scattered clouds
97,Carutapera,BR,-1.195,-46.02,79.25,89,96,4.99,overcast clouds
98,Erenhot,CN,43.6475,111.9767,46.36,22,5,11.65,clear sky
99,Sanford,US,28.8006,-81.2731,91.69,45,20,26.46,few clouds
100,Marau,BR,-28.4492,-52.2,67.39,72,0,1.97,clear sky
101,Ostrovnoy,RU,68.0531,39.5131,38.98,100,100,14.18,light rain
102,Dedougou,BF,12.4667,-3.4667,85.84,50,100,14.67,light rain
103,Jiaojiang,CN,28.6803,121.4428,71.01,94,100,3.98,moderate rain
104,Kavaratti,IN,10.5669,72.642,84.76,71,50,10.51,scattered clouds
105,Sibu,MY,2.3,111.8167,77.31,100,40,0.0,scattered clouds
106,Rocha,UY,-34.4833,-54.3333,71.89,56,100,1.88,overcast clouds
107,Karratha,AU,-20.7377,116.8463,75.56,67,57,7.52,broken clouds
108,Taywarah,AF,33.35,64.4167,56.57,45,5,7.05,clear sky
109,Padang,ID,-0.9492,100.3543,77.34,86,100,5.48,light rain
110,Castro,BR,-24.7911,-50.0119,65.07,52,78,4.43,broken clouds
111,Mount Abu,IN,24.6,72.7,75.56,30,0,6.51,clear sky
112,Mahinog,PH,9.1578,124.7875,80.56,84,96,12.68,overcast clouds
113,Lebu,CL,-37.6167,-73.65,58.24,74,5,7.99,clear sky
114,Waipawa,NZ,-41.4122,175.5153,56.14,74,100,15.35,overcast clouds
115,Rock Sound,BS,24.9,-76.2,79.61,78,49,13.44,scattered clouds
116,Saint-Leu,RE,-21.15,55.2833,72.46,71,16,2.91,few clouds
117,Zyryanka,RU,65.75,150.85,28.29,94,100,8.66,overcast clouds
118,Valparaiso,CL,-33.0393,-71.6273,55.63,88,100,4.61,fog
119,Wanaka,NZ,-44.7,169.15,59.11,81,100,1.99,moderate rain
120,Port-Gentil,GA,-0.7193,8.7815,78.76,94,20,2.3,few clouds
121,Haines Junction,CA,60.7522,-137.5108,35.55,87,100,2.3,overcast clouds
122,Mahebourg,MU,-20.4081,57.7,77.25,83,75,5.75,broken clouds
123,Port Hardy,CA,50.6996,-127.4199,50.18,62,75,11.5,broken clouds
124,Saint George,US,37.1041,-113.5841,88.79,16,0,20.71,clear sky
